date,num_complaints,num_stops
2019-01-01,20.0,43.0
2019-01-02,18.0,32.0
2019-01-03,34.0,28.0
2019-01-04,37.0,54.0
2019-01-05,29.0,18.0
2019-01-06,19.0,40.0
2019-01-07,37.0,26.0
2019-01-08,9.0,27.0
2019-01-09,13.0,37.0
2019-01-10,4.0,33.0
2019-01-11,32.0,27.0
2019-01-12,32.0,53.0
2019-01-13,23.0,33.0
2019-01-14,14.0,32.0
2019-01-15,23.0,33.0
2019-01-16,12.0,27.0
2019-01-17,14.0,39.0
2019-01-18,17.0,53.0
2019-01-19,16.0,26.0
2019-01-20,31.0,19.0
2019-01-21,9.0,18.0
2019-01-22,21.0,30.0
2019-01-23,13.0,45.0
2019-01-24,39.0,42.0
2019-01-25,6.0,39.0
2019-01-26,19.0,55.0
2019-01-27,17.0,45.0
2019-01-28,19.0,20.0
2019-01-29,16.0,28.0
2019-01-30,39.0,21.0
2019-01-31,6.0,27.0
2019-02-01,23.0,36.0
2019-02-02,23.0,24.0
2019-02-03,12.0,31.0
2019-02-04,13.0,21.0
2019-02-05,28.0,46.0
2019-02-06,42.0,31.0
2019-02-07,12.0,30.0
2019-02-08,21.0,49.0
2019-02-09,25.0,30.0
2019-02-10,21.0,26.0
2019-02-11,7.0,32.0
2019-02-12,7.0,21.0
2019-02-13,8.0,42.0
2019-02-14,38.0,42.0
2019-02-15,17.0,50.0
2019-02-16,8.0,47.0
2019-02-17,5.0,24.0
2019-02-18,18.0,22.0
2019-02-19,36.0,44.0
2019-02-20,7.0,27.0
2019-02-21,25.0,35.0
2019-02-22,16.0,29.0
2019-02-23,4.0,61.0
2019-02-24,16.0,33.0
2019-02-25,21.0,18.0
2019-02-26,24.0,29.0
2019-02-27,17.0,39.0
2019-02-28,23.0,33.0
2019-03-01,17.0,43.0
2019-03-02,12.0,42.0
2019-03-03,8.0,31.0
2019-03-04,12.0,26.0
2019-03-05,12.0,24.0
2019-03-06,32.0,40.0
2019-03-07,27.0,34.0
2019-03-08,7.0,45.0
2019-03-09,33.0,56.0
2019-03-10,30.0,30.0
2019-03-11,8.0,21.0
2019-03-12,31.0,36.0
2019-03-13,4.0,39.0
2019-03-14,18.0,32.0
2019-03-15,9.0,55.0
2019-03-16,9.0,34.0
2019-03-17,5.0,43.0
2019-03-18,15.0,33.0
2019-03-19,14.0,52.0
2019-03-20,5.0,55.0
2019-03-21,25.0,70.0
2019-03-22,42.0,44.0
2019-03-23,16.0,72.0
2019-03-24,8.0,49.0
2019-03-25,14.0,42.0
2019-03-26,9.0,48.0
2019-03-27,21.0,47.0
2019-03-28,36.0,39.0
2019-03-29,15.0,50.0
2019-03-30,12.0,37.0
2019-03-31,9.0,44.0
2019-04-01,14.0,35.0
2019-04-02,9.0,43.0
2019-04-03,27.0,84.0
2019-04-04,20.0,60.0
