precinct_2020,Total Population,White,   Black/ African American,     American Indian and Alaska Native,      Asian,Native Hawaiian and Other Pacific Islander,  Some Other Race,Two or More Races Nonhispanic,Hispanic Origin (of any race),Total Housing Units
106.0,162204.0,58425.0,34230.0,673.0,20707.0,73.0,3333.0,8564.0,36199.0,59701.0
107.0,159891.0,78585.0,19158.0,242.0,30849.0,74.0,1459.0,6258.0,23266.0,59734.0
108.0,150929.0,34521.0,41448.0,303.0,16243.0,39.0,813.0,3926.0,53636.0,62398.0
109.0,242948.0,100231.0,6870.0,313.0,87408.0,42.0,797.0,6311.0,40976.0,92034.0
110.0,154203.0,15210.0,22870.0,335.0,33983.0,48.0,662.0,3526.0,77569.0,51235.0
111.0,116374.0,70176.0,2288.0,86.0,30792.0,18.0,279.0,2379.0,10356.0,45899.0
112.0,115441.0,71028.0,2626.0,102.0,24694.0,35.0,402.0,3487.0,13067.0,55205.0
113.0,175985.0,45742.0,91203.0,346.0,15169.0,80.0,722.0,5478.0,17245.0,64017.0
114.0,159189.0,60960.0,32687.0,321.0,13793.0,107.0,1307.0,5199.0,44815.0,62778.0
115.0,160286.0,16362.0,65629.0,334.0,11144.0,50.0,873.0,3560.0,62334.0,56814.0
120.0,131171.0,52161.0,23662.0,211.0,23792.0,52.0,478.0,3443.0,27372.0,54910.0
121.0,136697.0,68212.0,30532.0,231.0,11170.0,41.0,452.0,3118.0,22941.0,51373.0
122.0,173125.0,128701.0,9237.0,155.0,10753.0,45.0,413.0,3232.0,20589.0,73345.0
123.0,108099.0,87236.0,3407.0,111.0,6389.0,27.0,183.0,1365.0,9381.0,39041.0
