precinct_2020,Total_Population,Black,Hispanics,NH_Asian,NH_White,Others,Black_Percentage,Hispanics_Percentage,NH_Asian_Percentage,NH_White_Percentage,Others_Percentage
102.0,144215,19126,54604,34451,28658,7376,13.262143327670492,37.86291301182263,23.8886384911417,19.87171930797767,5.1145858613875115
103.0,105803,51426,26189,19429,2765,5994,48.605427067285426,24.752606258801734,18.363373439316465,2.613347447614907,5.665245786981465
104.0,170190,5861,55958,13907,93378,1086,3.4437981079969444,32.87972266290616,8.171455432164052,54.866913449673895,0.6381103472589459
105.0,188582,112017,17524,29901,24611,4529,59.39962456650157,9.292509359323795,15.855702028825657,13.050556256694701,2.4016077886542724
106.0,122441,28257,26013,25787,31739,10645,23.07805391984711,21.245334487630778,21.060755792585816,25.921872575362826,8.693983224573469
107.0,151107,23008,23217,49750,52871,2261,15.226296597775086,15.364609184220454,32.923689835679355,34.989113674416146,1.4962907079089651
108.0,113200,3879,37924,37920,32470,1007,3.426678445229682,33.50176678445229,33.49823321554771,28.68374558303887,0.8895759717314488
109.0,247354,7882,39494,125146,73668,1164,3.1865261932291373,15.966590392716512,50.5938856861017,29.78241710261407,0.4705806253385836
110.0,172634,13026,86882,59099,12352,1275,7.545442960251167,50.32728199543543,34.233696722545965,7.155021606404301,0.7385567153631382
111.0,116431,3161,11228,46822,54690,530,2.714912695072618,9.643479829255096,40.214375896453696,46.972026350370605,0.4552052288479872
112.0,112070,4075,14328,30862,61927,878,3.636120281966628,12.784866601231373,27.538145801731062,55.25742839296868,0.7834389221022575
113.0,120132,108098,5915,2896,1057,2166,89.98268571238305,4.923750541071488,2.4106815835913826,0.8798654813038991,1.8030166816501847
114.0,202766,25972,50937,30907,91531,3419,12.808853555329788,25.121075525482578,15.242693548228006,45.14119724214119,1.686180128818441
115.0,171576,15699,105784,28316,20334,1443,9.149881102252063,61.65431062619481,16.503473679302466,11.851307875227304,0.84102671702336
120.0,113008,30754,26016,9333,46061,844,27.214002548492143,23.021379017414695,8.258707348152344,40.75906130539431,0.74684978054651
121.0,118708,18335,24704,13905,60934,830,15.445462816322404,20.81072884725545,11.713616605452033,51.33099706843684,0.6991946625332749
122.0,138982,4169,15130,9121,109879,683,2.9996690218877267,10.886301823257687,6.562720352275834,79.05987825761609,0.49143054496265703
123.0,98032,1756,7708,4902,83295,371,1.7912518361351395,7.862738697568141,5.00040803003101,84.96715358250367,0.3784478537620369
