precinct_2020,Total_Population,Black,Hispanics,NH_Asian,NH_White,Others,Black_Percentage,Hispanics_Percentage,NH_Asian_Percentage,NH_White_Percentage,Others_Percentage
1.0,66679,2770,4376,11763,47231,539,4.154231467178572,6.562785884611347,17.641236371271315,70.83339582177297,0.8083504551657943
5.0,52568,3102,5272,33254,10739,201,5.900928321412266,10.028914929234515,63.259016892406024,20.428777963780245,0.3823618931669457
6.0,62226,1794,3580,5945,50468,439,2.8830392440458974,5.753222125799505,9.553884228457559,81.10436152090766,0.7054928807893807
7.0,56355,6861,16082,19641,13479,292,12.174607399520895,28.536953242835597,34.85227575192973,23.91801969656641,0.5181439091473694
9.0,76443,8076,16336,11819,39560,652,10.564734508064832,21.37017123870073,15.461193307431682,51.750977852779194,0.8529230930235601
10.0,50180,4918,7853,6185,30799,425,9.800717417297728,15.649661219609406,12.325627740135513,61.377042646472695,0.8469509764846552
13.0,93640,5697,7791,14189,65354,609,6.083938487825716,8.320162323793252,15.152712516018795,69.79282357966682,0.6503630926954294
14.0,20651,1689,1979,5190,11605,188,8.178780688586508,9.583071037722144,25.131954869013608,56.19582586799671,0.9103675366810324
17.0,79126,2074,4394,11973,60226,459,2.621135909814726,5.553168364380861,15.131562318327731,76.11404595202588,0.5800874554508
18.0,54066,3651,8217,9064,32682,452,6.752857618466319,15.198091221839974,16.76469500240447,60.44834091665742,0.8360152406318204
19.0,208259,6496,12966,18991,168711,1095,3.1191929280367234,6.225901401620098,9.118933635521154,81.01018443380597,0.5257876010160425
20.0,102624,5187,7735,10245,78880,577,5.054373246024322,7.537223261615217,9.983044901777362,76.86311194262551,0.5622466479575927
22.0,25,18,4,0,2,1,72.0,16.0,0.0,8.0,4.0
23.0,73106,24715,31176,5816,10864,535,33.80707465871474,42.64492654501682,7.955571362131699,14.860613355948896,0.7318140781878368
24.0,106460,16583,19100,8033,61970,774,15.576742438474545,17.94101070824723,7.545557016719894,58.209656208904754,0.7270336276535788
25.0,47405,23357,18840,1341,3578,289,49.27117392680097,39.74264318109904,2.828815525788419,7.547727033013396,0.6096403332981754
26.0,49508,12697,10303,6879,19207,422,25.646360184212654,20.810778056071747,13.894724084996364,38.795750181788804,0.8523874929304355
28.0,44781,28553,6781,1832,7227,388,63.76141667224939,15.142582791809026,4.091020745405418,16.138540899042006,0.8664388914941604
30.0,60685,23119,29312,1577,6178,499,38.09672901046387,48.301886792452834,2.5986652385268187,10.180439976930048,0.8222789816264315
32.0,70942,53407,11832,1381,3823,499,75.28262524315637,16.678413351752134,1.946660652363903,5.3889092498097035,0.7033915029178766
33.0,76958,16813,49446,2336,7895,468,21.846981470412434,64.2506302138829,3.0354219184490243,10.258842485511577,0.6081239117440682
34.0,113062,15788,67888,3150,25547,689,13.964019741380834,60.04493109975058,2.786081972722931,22.595567034016735,0.6094001521289204
40.0,91497,33993,55033,607,1428,436,37.15203777173022,60.147327234772725,0.6634097292807415,1.560706908423227,0.4765183557930861
41.0,52246,17700,33194,374,694,284,33.87819163189526,63.534050453623244,0.7158442751598209,1.3283313555104697,0.5435822838112009
42.0,79762,41045,36923,385,918,491,51.459341541084726,46.29146711466613,0.48268599082269753,1.1509239988967177,0.615581354529726
43.0,172122,70256,83609,10660,4739,2858,40.81755963793123,48.5754290561346,6.1932815096268925,2.753279650480473,1.6604501458267973
44.0,146441,63200,77483,2537,2193,1028,43.15731250128038,52.91072855279601,1.7324383198694355,1.4975314290396815,0.7019891970144974
45.0,120833,33476,38559,5952,41615,1231,27.70435228786838,31.910984582026433,4.925806691880529,34.44009500715864,1.0187614310660167
46.0,128200,50956,72311,2070,1791,1072,39.74726989079563,56.404836193447736,1.6146645865834632,1.3970358814352575,0.8361934477379095
47.0,152374,108883,27023,3332,10871,2265,71.45772900888603,17.734652893538268,2.1867247693176,7.1344192578786405,1.486474070379461
48.0,83266,30371,45121,1054,6219,501,36.474671534599956,54.18898469963731,1.2658227848101267,7.468834818533375,0.6016861624192348
49.0,114712,30891,42025,9264,31212,1320,26.929179161726758,36.63522560848037,8.07587697886882,27.20901039124067,1.150707859683381
50.0,101720,18048,38242,5525,39181,724,17.74282343688557,37.59535981124656,5.4315768777035,38.518482107746756,0.711757766417617
52.0,139307,39148,78914,9725,10034,1486,28.101961854034613,56.64754822083599,6.9809844444284925,7.202796700811876,1.066708779889022
60.0,104278,15955,15327,12931,59405,660,15.300446882372121,14.698210552561422,12.400506338825064,56.967912694911675,0.6329235313297148
61.0,159645,6596,12147,25359,114720,823,4.1316671364590185,7.608756929437189,15.884618998402706,71.85943812834726,0.5155188073538163
62.0,181981,2445,23505,64338,90741,952,1.3435468537924289,12.916183557624148,35.3542402778312,49.86289777504245,0.5231315357097719
63.0,108646,50056,6941,5519,45309,821,46.0725659481251,6.388638329989139,5.07980045284686,41.703330081181086,0.7556651878578134
66.0,191382,6509,23371,35158,125152,1192,3.4010513005402805,12.211702249950362,18.370588665600735,65.39381969046201,0.6228380934466147
67.0,155252,145129,4939,1876,2204,1104,93.47963311261691,3.181279468219411,1.208358024373277,1.4196274444129544,0.7111019503774508
68.0,124491,3157,17001,27058,76537,738,2.5359262918604557,13.656408897028701,21.734904531251257,61.4799463415026,0.5928139383569897
69.0,84480,72264,4288,2374,4972,582,85.53977272727273,5.075757575757576,2.8101325757575757,5.885416666666667,0.6889204545454546
70.0,160664,63388,20260,16083,59590,1343,39.45376686749987,12.610167803614997,10.010332121694965,37.08982721704925,0.8359059901409152
71.0,98429,72421,5081,1416,18825,686,73.57689298885491,5.162096536589826,1.4386004124800618,19.12546099218726,0.6969490698879395
72.0,126230,7402,54322,34228,29464,814,5.863899231561436,43.0341440228155,27.11558266656104,23.341519448625526,0.6448546304365048
73.0,86468,72575,11736,667,858,632,83.9327843826618,13.572651154184207,0.7713836332516075,0.9922745986954712,0.7309062312069204
75.0,183328,109660,54106,9716,6245,3601,59.81628556467097,29.51322220282772,5.299790539361145,3.406462733461337,1.964238959678827
76.0,43694,7817,8164,2593,24791,329,17.89032819151371,18.684487572664437,5.9344532430081935,56.73776719915778,0.7529637936558795
77.0,90744,67774,6543,2736,13017,674,74.68703164947544,7.210394075641365,3.0150753768844223,14.344750066120074,0.7427488318786917
78.0,66664,8063,8989,5063,43996,553,12.094983799351974,13.484039361574464,7.594803792151686,65.99663986559463,0.8295331813272531
79.0,90263,56983,15453,2642,14506,679,63.12996465883031,17.119971638434354,2.9270022046685797,16.070815284224988,0.7522462138417735
81.0,62722,51774,7249,1134,2128,437,82.5451994515481,11.557348298842511,1.8079780619240458,3.3927489557093207,0.6967252319760212
83.0,112634,30413,66602,5110,9564,945,27.001615853117176,59.13134577481045,4.536818367455653,8.4912193476215,0.8390006569952234
84.0,48196,7196,5323,5215,30066,396,14.93069964312391,11.044485019503693,10.820400033197776,62.38277035438625,0.8216449497883642
88.0,51421,24883,6294,3905,15904,435,48.390735302697344,12.24013535326034,7.594173586666926,30.92899788024348,0.8459578771319111
90.0,116836,11246,34345,6020,64467,758,9.625457906809546,29.395905371632033,5.152521483104523,55.177342599883595,0.6487726385703037
94.0,56247,2459,8571,3834,40844,539,4.371788717620495,15.238146034455172,6.816363539388767,72.6154283784024,0.9582733301331626
100.0,47913,13382,5833,1474,26793,431,27.92978940997224,12.174148978356605,3.076409325235322,55.92010519065807,0.8995470957777638
101.0,67065,36765,14175,1470,13666,989,54.81995079400581,21.136211138447774,2.19190337732051,20.377245955416388,1.4746887348095132
