YEAR,ADDR_PCT_CD,CONDUCT,DRUGS,MISC,PROPERTY,TRAFFIC,VIOLENT
1980,9,0,0,0,0,0,3
1980,18,1,0,0,1,0,0
1980,19,0,0,0,1,0,0
1980,40,1,0,0,0,0,0
1980,45,0,1,0,0,0,0
1980,46,0,0,0,0,1,0
1980,48,0,0,0,1,0,0
1980,71,0,0,0,1,0,1
1980,84,1,0,0,0,0,0
1980,94,0,0,0,0,0,2
1980,109,0,0,0,0,0,1
1980,113,0,0,0,1,0,0
1980,120,1,0,0,0,0,0
1981,9,0,0,0,1,0,0
1981,14,0,0,0,1,0,0
1981,41,0,0,0,0,0,1
1981,46,1,0,0,0,0,0
1981,60,0,0,0,0,0,1
1981,61,0,0,1,0,0,0
1981,73,0,0,0,0,0,3
1981,104,0,0,0,0,0,3
1981,105,1,0,0,0,0,1
1981,109,0,0,0,0,0,1
1981,120,0,0,1,0,0,0
1981,121,0,0,0,1,0,0
1982,23,1,0,0,0,0,0
1982,63,0,0,0,2,0,0
1982,77,0,0,0,0,0,1
1982,106,0,0,0,0,0,1
1982,107,0,0,0,0,0,3
1982,109,1,0,0,0,0,0
1982,120,0,0,0,0,0,2
1983,10,0,0,0,1,0,0
1983,14,0,0,0,0,0,2
1983,69,0,0,0,0,0,1
1983,72,0,0,0,0,0,3
1983,75,0,0,0,0,0,1
1983,94,0,0,0,0,0,2
1983,100,0,0,0,1,0,0
1983,102,0,0,0,0,0,1
1983,114,0,0,0,0,0,1
1984,23,0,0,0,0,0,2
1984,32,0,0,0,3,0,0
1984,40,0,0,0,1,0,0
1984,47,1,0,0,0,0,0
1984,62,0,0,0,1,0,0
1984,70,1,0,0,0,0,0
1984,73,0,0,0,0,0,1
1984,77,0,0,0,0,0,1
1984,84,0,0,0,0,0,1
1984,94,0,0,0,0,0,1
1984,114,0,0,0,0,0,1
1984,123,0,0,0,1,0,0
1985,6,0,0,0,0,0,3
1985,7,1,0,0,0,0,0
1985,9,0,0,0,0,0,4
1985,17,0,0,0,0,0,1
1985,34,0,0,0,1,0,0
1985,46,0,0,0,1,0,0
1985,47,0,0,0,1,0,0
1985,49,0,0,0,1,0,3
1985,50,0,0,0,2,0,0
1985,67,0,0,0,1,0,0
1985,73,1,0,0,0,0,0
1985,76,0,0,0,0,0,1
1985,77,0,0,0,0,0,1
1985,81,0,0,0,1,0,0
1985,88,0,0,0,1,0,0
1985,100,0,0,1,0,0,0
1985,104,0,0,0,0,0,1
1985,107,1,0,0,1,0,0
1985,112,0,0,0,0,0,4
1985,114,0,0,0,0,0,1
1985,120,0,0,0,0,0,1
1986,5,0,0,0,0,0,1
1986,9,0,0,0,0,0,1
1986,23,0,0,0,0,0,2
1986,40,0,0,0,2,0,1
1986,42,1,0,0,2,0,0
1986,44,0,0,0,2,0,1
1986,47,0,0,0,0,0,1
1986,52,0,0,0,0,0,1
1986,62,0,0,0,1,0,1
1986,69,1,0,0,0,0,0
1986,70,0,0,0,0,0,1
1986,71,0,0,0,1,0,0
1986,73,0,0,0,1,0,0
1986,75,0,0,0,2,0,0
1986,101,1,0,0,0,0,1
1986,103,0,0,0,0,0,1
1986,104,0,0,0,0,0,2
1986,106,0,0,0,1,0,0
1986,107,0,0,0,1,0,0
1986,109,0,0,0,0,0,1
1986,113,0,0,0,1,0,0
1986,114,0,0,0,1,0,1
1986,115,1,0,0,0,0,0
1987,14,0,0,0,1,0,0
1987,25,0,0,0,1,0,0
1987,47,0,0,0,1,0,1
1987,52,0,1,0,0,0,0
1987,62,0,0,0,1,0,1
1987,73,0,0,0,0,0,1
1987,75,0,0,0,1,0,0
1987,77,0,0,0,0,0,3
1987,81,0,0,0,1,0,0
1987,83,0,0,0,1,0,0
1987,103,0,0,0,0,0,1
1987,104,0,0,0,0,0,3
1987,108,1,0,0,0,0,0
1987,114,0,0,0,1,0,0
1987,115,0,0,0,0,0,1
1987,120,0,0,0,0,0,1
1988,1,0,0,0,0,0,1
1988,7,0,0,0,1,0,0
1988,20,0,0,0,0,0,1
1988,23,0,0,0,0,0,1
1988,40,0,0,0,1,0,0
1988,48,0,0,0,0,0,2
1988,67,0,0,0,0,0,1
1988,71,0,0,0,1,0,0
1988,73,1,0,0,0,0,0
1988,75,1,0,0,0,0,1
1988,81,0,0,0,1,0,0
1988,102,0,0,0,1,0,0
1988,106,0,0,0,0,0,1
1988,114,0,0,0,0,0,1
1988,120,0,0,0,1,0,0
1989,9,0,0,0,0,0,3
1989,19,0,0,0,0,0,1
1989,20,1,0,0,1,0,2
1989,24,0,0,0,1,0,0
1989,32,0,0,0,0,0,1
1989,34,0,0,0,0,0,3
1989,40,0,0,0,1,0,0
1989,42,0,0,0,1,0,0
1989,47,0,0,0,0,0,1
1989,52,0,0,0,0,0,1
1989,66,1,0,0,0,0,0
1989,75,0,0,0,1,0,1
1989,77,0,0,0,0,0,3
1989,79,0,0,0,1,0,0
1989,81,0,0,0,0,0,1
1989,90,0,0,0,0,0,1
1989,102,0,0,0,1,0,0
1989,104,0,0,0,1,0,1
1989,105,0,0,0,3,0,0
1989,109,0,0,1,0,0,0
1989,111,0,0,0,1,0,0
1990,6,0,0,0,1,0,0
1990,10,0,0,0,0,0,3
1990,18,1,0,0,0,0,0
1990,25,0,0,0,0,0,1
1990,40,0,0,0,1,0,0
1990,41,0,0,0,0,0,1
1990,42,1,0,0,1,0,0
1990,43,0,0,0,0,0,2
1990,45,0,0,0,0,0,1
1990,49,0,0,0,1,0,0
1990,67,0,0,0,0,0,1
1990,70,0,0,0,1,0,0
1990,71,0,0,0,1,0,0
1990,73,0,0,0,1,0,0
1990,75,0,0,0,2,0,1
1990,77,0,0,0,1,0,0
1990,81,0,0,0,2,0,0
1990,83,0,0,0,0,0,2
1990,88,0,0,0,0,0,1
1990,90,0,0,0,0,0,1
1990,102,0,0,0,1,0,0
1990,105,0,0,0,2,0,1
1991,1,0,0,0,0,0,3
1991,7,0,0,0,1,0,0
1991,9,0,0,0,0,0,4
1991,20,0,0,0,1,0,0
1991,23,0,0,0,1,0,1
1991,40,0,0,0,1,0,0
1991,41,1,0,0,0,0,0
1991,42,0,0,0,1,0,0
1991,44,0,0,0,0,0,3
1991,46,0,0,0,1,0,0
1991,47,0,0,0,1,0,0
1991,52,0,0,0,1,0,1
1991,61,0,0,0,1,0,0
1991,66,0,0,0,0,0,1
1991,67,0,0,0,3,0,1
1991,71,0,0,0,2,0,1
1991,75,0,0,0,1,0,0
1991,101,0,0,0,0,0,1
1991,104,0,0,0,0,0,1
1991,105,0,0,0,0,0,2
1991,108,0,0,0,1,0,0
1991,110,0,0,0,0,0,1
1991,111,0,0,0,1,0,0
1991,113,0,0,0,0,0,1
1991,114,0,0,0,1,0,3
1991,115,0,0,0,1,0,0
1991,120,0,0,0,1,0,0
1992,5,0,0,0,0,0,3
1992,6,0,0,0,0,0,1
1992,9,0,0,0,0,0,2
1992,19,0,0,0,0,0,1
1992,23,0,0,0,0,0,1
1992,25,0,0,0,1,0,2
1992,30,0,0,0,1,0,0
1992,34,0,0,0,0,0,2
1992,40,0,0,0,1,0,0
1992,41,0,0,0,2,0,0
1992,42,0,0,0,1,0,0
1992,44,0,0,0,1,0,0
1992,46,0,0,0,1,0,4
1992,47,0,0,0,1,0,2
1992,48,0,0,0,1,0,0
1992,50,0,0,0,2,0,0
1992,52,0,0,0,0,0,1
1992,60,0,0,0,1,0,0
1992,62,0,0,0,0,0,1
1992,63,0,0,0,1,0,0
1992,69,0,0,0,0,0,1
1992,70,0,0,0,1,0,0
1992,73,0,0,0,1,0,0
1992,75,0,0,0,1,0,1
1992,81,0,0,0,1,0,1
1992,101,0,0,0,1,0,0
1992,104,0,0,0,1,0,0
1992,105,0,0,0,1,0,0
1992,108,0,0,0,1,0,0
1992,109,0,0,0,0,0,1
1992,113,0,0,0,1,0,0
1992,120,0,0,0,0,0,1
1992,122,0,0,0,0,0,1
1993,9,0,0,0,1,0,0
1993,20,1,0,0,1,0,3
1993,23,0,0,0,1,0,1
1993,30,0,0,0,1,0,1
1993,32,0,0,0,0,0,1
1993,33,0,0,0,0,0,1
1993,34,0,0,0,0,0,1
1993,41,0,0,0,0,0,1
1993,44,0,0,0,0,0,1
1993,46,0,0,0,0,0,1
1993,47,0,0,0,1,0,2
1993,48,0,0,0,1,0,0
1993,60,0,0,0,0,0,1
1993,61,0,0,0,1,0,1
1993,66,0,0,0,0,0,1
1993,67,0,0,0,1,0,1
1993,68,1,0,0,0,0,0
1993,70,0,0,0,0,0,3
1993,71,0,0,0,1,0,0
1993,75,0,0,0,1,0,1
1993,77,0,0,0,0,0,1
1993,79,0,0,0,0,0,1
1993,81,0,0,0,0,0,1
1993,83,0,0,0,1,0,0
1993,88,0,0,0,0,0,1
1993,100,0,0,0,0,0,1
1993,104,0,0,0,0,0,7
1993,105,0,0,0,0,0,3
1993,106,0,0,0,0,0,1
1993,107,0,0,0,0,0,1
1993,109,0,0,0,1,0,0
1993,110,0,0,0,1,0,1
1993,112,0,0,0,1,0,1
1993,114,0,0,0,0,0,1
1993,115,0,0,0,0,0,4
1993,120,0,0,0,1,0,1
1994,6,1,0,0,1,0,0
1994,9,0,0,0,1,0,1
1994,10,3,0,0,0,0,1
1994,17,0,0,0,1,0,0
1994,18,1,0,0,0,0,0
1994,19,0,0,0,1,0,0
1994,20,2,0,0,0,0,2
1994,23,0,0,0,1,0,0
1994,25,0,0,0,1,0,0
1994,28,0,0,0,1,0,0
1994,30,0,0,0,0,0,1
1994,40,0,0,0,2,0,1
1994,41,0,0,0,2,0,1
1994,42,0,0,0,1,0,0
1994,44,0,0,0,1,0,0
1994,46,0,0,0,0,0,1
1994,47,0,0,0,1,0,0
1994,52,0,1,0,0,0,0
1994,60,0,0,0,1,0,1
1994,62,0,0,0,2,0,1
1994,63,0,0,0,1,0,0
1994,69,0,0,0,0,0,1
1994,70,0,0,0,1,0,0
1994,71,0,0,0,0,0,2
1994,72,0,0,0,1,0,0
1994,73,0,0,0,1,0,0
1994,77,0,0,0,0,0,3
1994,78,0,0,0,1,0,1
1994,79,0,0,0,1,0,3
1994,81,0,0,0,1,0,0
1994,83,0,0,0,0,0,4
1994,90,0,0,0,2,0,0
1994,94,0,0,0,0,0,1
1994,101,0,0,0,0,0,1
1994,102,0,0,0,2,0,0
1994,103,0,0,0,0,0,8
1994,104,0,0,0,1,0,2
1994,106,0,0,0,0,0,2
1994,107,0,0,0,1,0,0
1994,110,0,0,0,1,0,3
1994,112,0,0,0,0,0,1
1994,113,0,0,0,1,0,0
1994,115,0,0,0,2,0,3
1994,120,0,0,0,0,0,4
1994,122,0,0,0,1,0,2
1995,5,0,0,0,2,0,0
1995,6,0,0,0,0,0,1
1995,7,0,0,0,2,0,0
1995,9,1,0,0,0,0,1
1995,10,1,0,0,0,0,1
1995,14,0,0,0,0,0,1
1995,18,1,0,0,0,0,0
1995,20,1,0,0,1,0,2
1995,25,0,0,0,1,0,0
1995,26,0,0,0,1,0,0
1995,30,0,0,0,2,0,0
1995,34,0,0,0,1,0,0
1995,40,0,0,0,1,0,0
1995,41,0,0,0,2,0,0
1995,43,0,0,0,3,0,0
1995,44,0,0,0,1,0,1
1995,45,0,0,0,1,0,0
1995,46,0,0,0,1,0,0
1995,47,0,0,0,1,0,0
1995,49,0,0,0,1,0,0
1995,50,0,0,0,3,0,0
1995,60,0,0,0,1,0,0
1995,61,0,0,0,0,0,3
1995,62,0,0,0,2,0,0
1995,63,0,0,0,1,0,0
1995,66,0,0,0,2,0,1
1995,67,0,0,0,2,0,4
1995,68,0,0,0,1,0,0
1995,69,0,0,0,0,0,1
1995,70,0,0,0,1,0,0
1995,71,0,0,0,1,0,0
1995,72,0,0,0,1,0,1
1995,73,0,0,0,1,0,0
1995,75,0,0,0,1,0,3
1995,76,0,0,0,1,0,1
1995,77,0,0,0,0,0,1
1995,79,0,0,0,0,0,1
1995,83,0,0,0,0,0,3
1995,90,0,0,0,2,0,0
1995,94,0,0,0,0,0,1
1995,100,0,0,0,1,0,2
1995,102,0,0,0,2,0,1
1995,103,0,0,0,0,0,1
1995,104,0,0,0,0,0,1
1995,105,0,0,0,0,0,1
1995,106,1,0,0,0,0,0
1995,107,0,0,0,0,0,1
1995,109,0,0,0,2,0,4
1995,110,1,0,0,1,0,1
1995,111,0,0,0,2,0,0
1995,112,0,0,0,0,0,1
1995,113,0,0,0,0,0,3
1995,114,0,0,0,0,0,3
1995,115,0,0,0,1,0,0
1995,122,0,0,0,1,0,0
1996,6,0,0,0,1,0,0
1996,7,0,0,0,0,0,3
1996,9,0,0,0,0,0,1
1996,13,0,0,0,1,0,0
1996,14,0,0,0,1,0,0
1996,17,0,0,0,1,0,0
1996,19,0,0,0,2,0,0
1996,20,1,0,0,1,0,0
1996,23,1,0,0,0,0,2
1996,24,0,0,0,0,0,1
1996,25,3,0,0,0,0,1
1996,28,0,0,0,0,0,1
1996,30,0,0,0,1,0,0
1996,32,0,0,0,1,0,0
1996,33,0,0,0,0,0,4
1996,34,0,0,0,2,0,0
1996,40,0,0,0,1,0,0
1996,41,0,0,0,2,0,4
1996,42,1,0,0,1,0,0
1996,43,0,0,0,6,0,0
1996,44,0,0,0,0,0,1
1996,45,1,0,0,2,0,1
1996,46,0,0,0,1,0,2
1996,47,0,0,0,3,0,0
1996,48,0,0,0,0,0,2
1996,49,0,0,0,3,0,1
1996,50,0,0,0,1,0,0
