YEAR,ADDR_PCT_CD,CONDUCT,DRUGS,MISC,PROPERTY,TRAFFIC,VIOLENT
1996,52,0,0,0,0,0,1
1996,60,0,0,0,2,0,0
1996,67,0,0,0,0,0,1
1996,68,0,1,0,0,0,1
1996,69,0,0,0,2,0,2
1996,70,0,0,0,2,0,0
1996,71,0,0,0,6,0,2
1996,72,0,0,0,0,0,1
1996,73,0,0,0,2,0,2
1996,75,0,0,0,3,0,3
1996,76,0,0,0,1,0,0
1996,77,0,0,0,3,0,1
1996,79,0,0,0,0,0,3
1996,81,0,0,0,2,0,2
1996,83,0,0,0,1,0,0
1996,90,0,0,0,2,0,0
1996,100,0,0,0,1,0,0
1996,101,0,0,0,0,0,3
1996,103,0,0,0,1,0,1
1996,104,0,0,0,1,0,4
1996,105,0,0,0,1,0,1
1996,106,0,0,0,1,0,0
1996,107,0,0,0,1,0,1
1996,108,1,0,0,3,0,0
1996,109,0,0,0,1,0,0
1996,110,0,0,0,1,0,1
1996,111,0,0,0,2,0,0
1996,112,0,0,0,0,0,1
1996,113,0,0,0,0,0,5
1996,114,0,0,0,0,0,1
1996,115,0,0,0,2,0,1
1996,120,0,0,1,1,0,1
1996,122,0,0,0,1,0,0
1996,123,0,0,0,1,0,1
1997,1,0,0,0,1,0,0
1997,9,0,0,0,0,0,4
1997,14,1,0,0,0,0,0
1997,19,0,0,0,2,0,0
1997,20,0,0,0,1,0,0
1997,24,0,0,0,0,0,1
1997,25,0,0,0,0,0,1
1997,28,0,0,0,0,0,1
1997,30,0,0,0,0,0,1
1997,32,0,0,0,2,0,0
1997,33,0,0,0,1,0,1
1997,34,0,0,0,3,0,1
1997,40,0,0,0,1,0,1
1997,41,0,0,0,3,0,1
1997,42,0,0,0,2,0,1
1997,43,0,0,0,1,0,1
1997,44,0,0,0,1,0,4
1997,45,0,0,0,0,0,2
1997,46,0,0,0,3,0,1
1997,47,1,0,0,0,0,1
1997,48,0,0,0,0,0,1
1997,49,0,0,0,1,0,0
1997,52,0,0,0,2,0,0
1997,60,0,0,0,1,0,1
1997,61,0,0,0,1,0,0
1997,62,0,0,0,4,0,2
1997,63,1,0,0,2,0,0
1997,66,0,0,0,1,0,1
1997,67,0,0,0,3,0,1
1997,68,0,0,0,0,0,2
1997,69,0,0,0,0,0,1
1997,70,0,0,0,2,0,1
1997,72,0,0,0,2,0,0
1997,73,0,0,0,3,0,5
1997,75,0,0,0,5,0,2
1997,76,0,0,0,1,0,0
1997,77,0,0,0,1,0,2
1997,79,0,0,0,1,0,0
1997,81,0,0,0,2,0,0
1997,83,0,0,0,4,0,4
1997,88,0,0,0,0,0,1
1997,90,0,0,0,0,0,2
1997,94,0,0,0,1,0,0
1997,100,0,0,0,0,0,1
1997,101,0,0,0,1,0,0
1997,102,0,0,0,0,0,2
1997,104,0,0,0,1,0,3
1997,105,0,0,0,2,0,1
1997,107,0,0,0,2,0,0
1997,109,0,0,0,4,0,0
1997,110,0,0,0,2,0,1
1997,111,0,0,0,0,0,1
1997,112,0,0,0,1,0,1
1997,113,1,0,0,0,0,2
1997,114,0,0,0,2,0,0
1997,115,0,0,0,3,0,3
1997,120,2,0,0,2,0,1
1997,122,0,0,0,1,0,1
1998,1,0,0,0,2,0,0
1998,5,0,0,0,0,0,1
1998,6,3,0,0,0,0,1
1998,7,0,0,0,2,0,2
1998,10,0,0,0,1,0,0
1998,13,0,0,0,0,0,1
1998,14,1,0,0,1,0,0
1998,17,2,0,0,1,0,0
1998,18,0,0,0,0,0,4
1998,19,0,0,0,1,0,0
1998,20,3,0,0,1,0,2
1998,23,0,0,0,2,0,2
1998,24,0,0,0,0,0,1
1998,25,0,0,0,2,0,1
1998,28,0,0,0,0,0,2
1998,30,0,0,0,1,0,0
1998,32,1,0,0,1,0,2
1998,33,1,0,0,0,0,2
1998,34,0,0,0,2,0,1
1998,40,0,0,0,6,0,3
1998,41,0,0,0,2,0,3
1998,42,0,0,0,2,0,3
1998,43,0,0,0,6,0,2
1998,44,0,0,0,6,0,5
1998,45,0,0,0,3,0,0
1998,46,0,0,0,2,0,1
1998,47,0,0,0,2,0,1
1998,48,0,0,0,0,0,1
1998,49,1,0,0,6,0,0
1998,50,0,0,1,0,0,0
1998,52,0,0,0,1,0,0
1998,60,0,0,0,3,0,1
1998,61,0,0,0,3,0,3
1998,62,1,0,0,0,0,0
1998,63,0,0,0,1,0,8
1998,66,0,0,0,1,0,4
1998,67,0,0,0,8,0,3
1998,68,1,0,0,0,0,0
1998,69,0,0,0,1,0,2
1998,70,1,0,0,3,0,2
1998,71,0,0,0,1,0,1
1998,72,0,0,0,2,0,2
1998,73,0,0,0,3,0,5
1998,75,0,0,0,9,0,8
1998,76,0,0,0,3,0,0
1998,77,0,0,0,0,0,1
1998,79,0,0,0,2,0,3
1998,81,0,0,0,1,0,2
1998,83,0,0,0,2,0,5
1998,88,1,0,0,1,0,1
1998,90,0,0,0,4,0,0
1998,94,0,0,0,0,0,1
1998,101,0,0,0,0,0,2
1998,102,0,0,0,0,0,3
1998,103,0,0,0,0,0,2
1998,105,0,0,0,1,0,4
1998,106,0,0,0,1,0,2
1998,107,0,0,0,1,0,1
1998,108,0,0,0,3,0,0
1998,109,0,0,0,2,0,0
1998,110,1,0,0,3,0,2
1998,111,2,0,0,1,0,2
1998,112,0,0,0,1,0,0
1998,113,0,0,0,2,0,2
1998,114,0,0,0,3,0,1
1998,115,0,0,0,3,0,6
1998,120,1,0,0,5,0,2
1998,121,0,0,0,4,0,0
1998,123,0,0,0,1,0,0
1999,1,1,0,0,2,0,0
1999,5,1,0,0,1,0,0
1999,6,0,0,0,1,0,0
1999,7,0,0,0,2,0,0
1999,9,0,0,0,3,0,2
1999,10,0,0,0,1,0,0
1999,13,0,0,0,2,0,0
1999,14,1,0,0,1,0,1
1999,17,0,0,0,1,0,0
1999,18,0,0,0,1,0,1
1999,19,1,0,0,4,0,1
1999,20,2,0,0,1,0,0
1999,23,0,0,0,4,0,3
1999,24,1,0,0,1,0,3
1999,25,0,0,0,1,0,2
1999,26,0,0,0,0,0,4
1999,28,0,0,0,1,0,1
1999,30,0,0,0,2,0,4
1999,32,0,0,0,2,0,3
1999,33,0,0,0,1,0,2
1999,34,0,0,0,4,0,2
1999,40,1,0,0,5,0,4
1999,41,0,0,0,3,0,2
1999,42,0,0,0,1,0,1
1999,43,0,0,0,10,0,0
1999,44,0,0,0,4,0,5
1999,45,1,0,0,2,0,1
1999,46,0,0,0,5,0,2
1999,47,0,0,0,4,0,3
1999,48,0,0,0,2,0,2
1999,49,0,0,0,3,0,6
1999,50,0,0,0,4,0,0
1999,52,0,0,0,1,0,3
1999,60,0,0,0,4,0,1
1999,61,0,0,0,5,0,0
1999,62,0,0,0,2,0,2
1999,63,0,0,0,4,0,1
1999,66,1,0,0,5,0,3
1999,67,0,0,0,3,0,2
1999,68,0,0,0,1,0,0
1999,69,0,0,0,4,0,0
1999,70,0,0,0,7,0,3
1999,71,0,0,0,4,0,0
1999,72,0,0,0,0,0,3
1999,73,0,0,0,5,0,2
1999,75,0,0,0,6,0,7
1999,76,0,0,0,4,0,2
1999,77,0,0,0,4,0,1
1999,78,0,0,0,0,0,1
1999,79,0,0,0,2,0,4
1999,81,0,0,0,4,0,1
1999,83,0,0,0,2,0,8
1999,84,0,0,0,1,0,0
1999,88,0,0,0,1,0,1
1999,90,0,0,0,4,0,3
1999,94,0,0,0,2,0,0
1999,100,0,0,0,1,0,0
1999,101,0,0,0,2,0,3
1999,102,0,0,0,1,0,4
1999,103,0,0,0,2,0,3
1999,104,1,0,0,2,0,3
1999,105,0,0,0,2,0,2
1999,106,0,0,0,4,0,4
1999,107,1,0,0,4,0,2
1999,108,0,0,0,1,0,2
1999,109,0,0,0,3,0,0
1999,110,0,0,0,5,0,2
1999,111,0,0,0,1,0,1
1999,112,0,0,0,3,0,3
1999,113,0,0,0,4,0,1
1999,114,1,0,0,6,0,4
1999,115,0,0,0,10,0,8
1999,120,0,0,0,4,0,8
1999,122,0,0,0,3,0,1
2000,1,2,0,0,6,0,0
2000,5,1,0,1,2,0,1
2000,6,1,0,0,4,0,0
2000,7,2,1,0,6,0,2
2000,9,1,0,0,9,0,4
2000,10,1,0,0,3,0,2
2000,13,0,0,0,3,0,1
2000,14,2,0,0,5,0,0
2000,17,0,0,0,2,0,1
2000,18,1,0,0,3,0,0
2000,19,2,0,0,12,0,0
2000,20,1,1,0,8,0,1
2000,23,2,0,1,5,0,3
2000,24,0,0,0,6,0,0
2000,25,0,0,0,3,0,3
2000,26,0,0,0,2,0,1
2000,28,0,1,0,2,0,4
2000,30,1,0,1,3,1,3
2000,32,2,1,0,3,0,4
2000,33,5,0,0,2,0,1
2000,34,4,1,0,6,0,3
2000,40,0,0,0,10,0,8
2000,41,2,0,0,13,0,2
2000,42,1,1,0,12,0,2
2000,43,4,3,0,16,0,8
2000,44,5,0,0,4,0,9
2000,45,3,1,0,7,0,2
2000,46,1,1,0,9,0,5
2000,47,4,0,0,9,0,6
2000,48,2,1,0,5,0,3
2000,49,5,0,0,14,0,3
2000,50,2,0,0,7,0,3
2000,52,1,0,0,5,0,9
2000,60,2,0,1,8,0,2
2000,61,1,0,0,16,0,2
2000,62,4,0,0,12,0,2
2000,63,2,0,0,9,0,1
2000,66,1,0,1,7,0,4
2000,67,1,0,0,10,0,4
2000,68,2,0,0,8,0,3
2000,69,3,0,0,2,1,3
2000,70,4,1,1,17,0,5
2000,71,0,0,0,6,0,2
2000,72,2,1,0,6,0,4
2000,73,4,0,0,6,0,6
2000,75,1,1,0,15,0,7
2000,76,1,0,1,4,0,0
2000,77,1,2,0,3,0,6
2000,78,1,0,0,1,0,1
2000,79,3,0,0,4,0,2
2000,81,0,1,0,7,0,2
2000,83,2,0,0,8,0,15
2000,84,0,0,1,1,0,0
2000,88,2,0,0,4,0,2
2000,90,2,0,0,9,0,1
2000,94,0,0,0,2,0,1
2000,100,0,0,0,3,0,3
2000,101,6,0,0,1,0,2
2000,102,0,0,0,7,1,2
2000,103,0,0,0,6,0,4
2000,104,1,0,0,7,0,6
2000,105,8,0,0,3,0,7
2000,106,5,0,1,8,0,5
2000,107,7,0,1,7,0,0
2000,108,0,1,1,8,0,2
2000,109,3,0,0,9,0,4
2000,110,1,0,1,12,0,3
2000,111,4,0,0,4,0,1
2000,112,1,0,0,6,0,1
2000,113,4,0,0,6,0,5
2000,114,1,1,0,14,0,6
2000,115,2,0,0,11,0,5
2000,120,3,0,0,15,0,8
2000,122,3,2,0,3,0,4
2000,123,2,0,0,2,0,2
2001,1,2,0,0,11,0,1
2001,5,0,0,0,3,0,1
2001,6,1,0,0,2,0,0
2001,7,2,1,0,5,0,0
2001,9,2,2,0,7,0,0
2001,10,1,0,0,4,0,1
2001,13,1,0,0,8,1,1
2001,14,4,0,0,11,0,0
2001,17,2,0,0,8,0,0
2001,18,0,0,0,6,0,0
2001,19,0,0,0,15,0,5
2001,20,4,0,0,10,0,3
2001,23,3,0,2,11,0,7
2001,24,1,0,0,2,0,3
2001,25,0,0,0,5,0,9
2001,26,1,0,0,3,0,1
2001,28,2,0,0,6,0,0
2001,30,0,0,0,2,1,7
2001,32,0,0,0,10,0,3
2001,33,2,1,0,4,0,5
2001,34,0,1,0,8,0,8
2001,40,4,1,0,9,0,8
2001,41,0,0,0,12,0,4
2001,42,2,1,1,15,0,9
2001,43,2,1,0,19,0,10
2001,44,6,0,1,8,0,6
2001,45,1,0,0,8,0,4
2001,46,1,1,2,14,0,7
2001,47,1,0,1,19,0,3
2001,48,0,0,0,12,0,3
2001,49,1,0,0,15,1,2
2001,50,0,0,0,8,1,1
2001,52,2,3,1,10,0,2
2001,60,4,0,0,11,0,0
2001,61,0,0,0,6,0,4
2001,62,3,0,2,12,0,2
2001,63,1,0,0,7,0,4
2001,66,0,0,0,4,0,5
2001,67,1,0,0,17,0,10
2001,68,1,0,0,5,0,2
2001,69,0,0,0,8,0,2
2001,70,1,0,0,14,0,9
2001,71,1,0,0,6,0,0
2001,72,1,1,0,4,0,5
2001,73,3,2,1,18,0,11
2001,75,2,0,0,15,0,15
2001,76,0,1,0,3,0,2
2001,77,3,0,1,8,0,10
2001,78,1,0,0,6,0,0
2001,79,1,0,0,13,0,8
2001,81,0,2,0,11,0,3
2001,83,3,0,0,8,0,7
2001,84,0,0,2,4,0,4
2001,88,1,0,2,10,0,2
2001,90,6,0,0,23,0,7
2001,94,2,0,0,2,0,0
2001,100,2,0,0,5,0,1
2001,101,0,0,1,1,0,2
2001,102,1,0,0,8,0,3
2001,103,0,0,0,4,0,5
2001,104,0,0,0,4,0,2
2001,105,5,0,0,11,0,2
2001,106,3,0,1,2,0,7
2001,107,2,0,0,5,0,2
2001,108,0,0,0,11,0,3
2001,109,1,0,0,7,0,2
2001,110,1,0,1,11,0,7
2001,111,1,1,0,5,0,1
2001,112,2,0,0,5,0,0
2001,113,1,0,0,5,0,2
2001,114,1,0,0,10,0,4
2001,115,4,0,2,21,0,7
2001,120,5,0,0,17,0,9
2001,121,1,0,0,3,0,2
2001,122,5,0,0,11,0,2
2001,123,0,0,0,4,0,1
2002,1,0,1,0,9,0,1
2002,5,0,0,0,10,0,0
2002,6,1,0,0,3,0,4
2002,7,1,0,0,4,0,2
2002,9,0,0,0,5,0,4
2002,10,2,0,0,6,0,3
2002,13,0,0,0,4,0,0
2002,14,0,0,0,5,0,2
2002,17,3,0,0,3,0,1
2002,18,0,0,0,5,0,3
2002,19,2,0,0,14,0,2
2002,20,3,0,0,11,0,3
2002,23,0,0,0,4,0,3
2002,24,1,0,0,4,0,3
2002,25,1,0,0,10,0,2
2002,26,1,0,0,0,0,0
2002,28,0,0,0,2,0,1
2002,30,0,0,0,5,0,2
2002,32,0,0,0,8,0,7
2002,33,2,0,1,8,0,2
2002,34,0,0,0,14,0,7
2002,40,2,1,0,15,0,7
2002,41,0,0,0,11,0,8
2002,42,0,0,0,9,0,6
2002,43,2,0,0,22,0,3
2002,44,0,0,0,11,0,11
2002,45,0,0,0,11,0,2
2002,46,0,0,0,17,0,7
2002,47,1,0,0,9,0,3
2002,48,0,0,0,7,0,6
2002,49,0,0,0,20,1,4
2002,50,1,0,0,13,0,3
2002,52,1,0,0,6,0,8
2002,60,2,0,0,15,0,3
2002,61,2,0,0,14,0,5
2002,62,1,0,0,11,0,0
